# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
captavenu	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (US Rev 1.9)	1991	Data East Corporation
captavenua	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (US Rev 1.4)	1991	Data East Corporation
captavenuu	Beat 'em up	4	horizontal	captaven	Captain America and The Avengers (US Rev 1.6)	1991	Data East Corporation
captc1v4	Beat 'em up	4	horizontal	captcomm	Captain Commando (1v4, Hack)	2017	hack
captcm2y	Beat 'em up	4	horizontal	captcomm	Captain Commando (Master, Hack)	2025	hack
captcmcr	Beat 'em up	4	horizontal	captcomm	Captain Commando (CR7 Elite, Hack)	2024	hack
captcmdw	Beat 'em up	4	horizontal	captcomm	Captain Commando (Warriors, Hack)	2023	hack
captcmjy	Beat 'em up	4	horizontal	captcomm	Captain Commando (Elite Competition, Hack)	2024	hack
captcmjyb	Beat 'em up	4	horizontal	captcomm	Captain Commando (Elite Competition ver B, Hack)	2025	hack
captcmmy	Beat 'em up	4	horizontal	captcomm	Captain Commando (Incubus, Hack)	2025	hack
captcmsc	Beat 'em up	4	horizontal	captcomm	Captain Commando (Switchable Character, Hack)	2020	hack
captcmsh	Beat 'em up	4	horizontal	captcomm	Captain Commando (Contest, Hack)	2020	hack
captcmwx	Beat 'em up	4	horizontal	captcomm	Captain Commando (Infinite Bullets, Hack)	2023	hack
captcmzs	Beat 'em up	4	horizontal	captcomm	Captain Commando (God of War, Hack)	2024	hack
captcmzt	Beat 'em up	4	horizontal	captcomm	Captain Commando (Journey, Hack)	2024	hack
captcomm	Beat 'em up	4	horizontal		Captain Commando (World 911202)	1991	Capcom
captcommb	Beat 'em up	4	horizontal	captcomm	Captain Commando (bootleg)	1991	bootleg
captcommb3	Beat 'em up	4	horizontal	captcomm	Captain Commando (bootleg with YM2151 + 2xMSM5205)	1991	bootleg
captcommj	Beat 'em up	4	horizontal	captcomm	Captain Commando (Japan 911202)	1991	Capcom
captcommjr1	Beat 'em up	4	horizontal	captcomm	Captain Commando (Japan 910928)	1991	Capcom
captcommr1	Beat 'em up	4	horizontal	captcomm	Captain Commando (World 911014)	1991	Capcom
captcommu	Beat 'em up	4	horizontal	captcomm	Captain Commando (USA 910928)	1991	Capcom
captre	Beat 'em up	4	horizontal	captcomm	Captain Commando Readjusted (Hack, v1.2)	2023	GameHackFan
